,top_genres,num_tracks_in_album,num_listens_per_album,track_favorites,duration,interest,num_listens_per_song,chroma_cens,chroma_cqt,chroma_stft,mfcc,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zcr
20,Electronic/Rock,1,1,0,2,1,4,4,4,4,0,4,3,4,0,4,1,3
21,Electronic/Rock,1,1,3,3,4,2,3,3,2,4,4,3,4,0,4,0,4
22,Electronic/Rock,1,1,0,3,4,4,1,2,2,0,4,3,4,1,4,3,4
23,Electronic/Rock,1,1,3,2,4,4,3,4,4,0,4,3,4,0,4,3,4
24,Electronic/Rock,0,2,3,3,4,4,2,4,4,1,4,3,4,0,4,3,3
25,Electronic/Rock,0,2,3,0,0,2,3,4,4,1,4,3,4,0,4,2,4
26,Electronic/Rock,0,2,3,0,0,2,4,4,4,0,4,3,4,0,4,1,4
27,Electronic/Rock,0,2,3,3,4,4,3,4,3,4,4,2,3,0,3,0,3
28,Electronic/Rock,0,2,3,0,0,2,2,4,4,0,4,2,3,0,3,4,3
29,Electronic/Rock,0,2,3,0,0,2,4,4,4,1,4,3,4,0,4,2,4
30,Electronic/Rock,0,2,3,4,4,4,1,2,4,0,4,3,4,1,4,3,3
31,Electronic/Rock,0,0,0,1,0,0,1,1,3,1,1,3,3,4,4,2,4
32,Electronic/Rock,0,0,0,3,0,2,1,3,1,4,1,3,4,1,4,3,4
33,Electronic/Rock,0,0,0,2,0,0,3,4,1,0,2,3,4,4,4,1,4
34,Electronic/Rock,0,0,0,2,0,2,4,4,4,1,3,2,2,3,3,1,2
35,Electronic/Rock,0,0,0,2,1,4,4,4,4,4,4,3,4,4,4,2,4
36,Electronic/Rock,0,0,0,1,0,2,0,1,3,0,1,3,4,1,4,0,4
37,Electronic/Rock,0,0,0,3,4,4,2,3,4,4,3,3,4,4,4,2,4
38,Electronic/Rock,0,4,1,3,2,1,1,3,2,4,4,2,3,2,3,4,1
39,Electronic/Rock,0,4,1,3,1,4,2,3,4,1,4,4,2,1,0,2,0
40,Electronic/Rock,0,4,1,3,1,4,2,4,3,4,4,3,4,0,4,4,3
41,Electronic/Rock,0,4,1,3,2,1,1,3,4,4,4,3,4,0,4,3,2
42,Electronic/Rock,0,4,1,3,2,1,1,3,4,4,4,3,4,0,4,3,1
43,Electronic/Rock,3,2,4,4,1,4,2,2,3,0,4,3,4,1,4,2,4
44,Electronic/Rock,3,2,4,1,4,4,1,2,4,0,4,3,4,0,4,4,4
45,Electronic/Rock,3,2,4,1,4,2,0,1,4,0,4,3,4,1,4,4,4
46,Electronic/Rock,3,2,4,4,4,2,3,3,3,0,4,3,4,1,4,3,3
47,Electronic/Rock,3,2,4,0,4,0,2,2,4,0,4,3,4,1,4,2,4
48,Electronic/Rock,3,2,0,1,4,0,4,4,4,4,4,3,4,2,4,3,4
49,Electronic/Rock,3,2,4,1,0,0,1,2,3,0,3,3,4,1,4,2,4
50,Electronic/Rock,3,2,4,4,0,0,1,2,3,1,3,3,4,1,4,2,4
51,Electronic/Rock,3,2,4,1,4,2,2,3,4,0,4,3,4,2,4,2,4
52,Electronic/Rock,3,2,4,1,0,0,1,1,4,0,4,3,4,2,4,2,3
53,Electronic/Rock,3,2,4,2,0,0,2,2,3,1,4,2,3,0,3,3,1
54,Electronic/Rock,1,2,4,0,1,4,4,3,4,4,2,1,3,3,3,3,0
55,Electronic/Rock,1,2,4,0,4,2,3,3,4,4,2,3,4,4,4,2,2
56,Electronic/Rock,1,2,4,3,0,2,1,3,4,4,3,2,3,3,3,1,1
57,Electronic/Rock,1,2,4,4,1,4,1,2,2,4,1,2,3,3,3,3,2
58,Electronic/Rock,1,2,4,0,0,0,3,3,4,4,4,0,1,2,1,4,0
59,Electronic/Rock,1,2,4,0,0,0,3,4,4,0,2,3,3,4,3,2,4
60,Electronic/Rock,1,2,4,1,4,0,0,0,4,4,2,4,3,2,2,3,0
61,Electronic/Rock,1,2,4,3,1,4,1,3,4,4,3,2,4,3,3,1,1
62,Electronic/Rock,1,2,4,3,4,2,2,3,4,4,2,2,3,3,3,0,2
63,Electronic/Rock,1,2,4,4,4,2,4,4,4,0,1,1,3,3,2,0,2
64,Electronic/Rock,1,2,4,3,4,0,2,3,4,4,2,1,3,3,2,3,1
65,Electronic/Rock,1,2,4,2,2,4,2,3,2,4,0,1,3,3,2,2,2
66,Electronic/Rock,1,2,4,3,4,2,1,2,1,4,1,1,3,3,2,0,1
67,Electronic/Rock,1,2,4,2,0,0,1,2,3,4,3,1,3,3,2,2,0
68,Electronic/Rock,1,2,4,4,4,0,3,4,4,4,1,1,3,3,2,0,1
69,Electronic/Rock,2,1,0,0,2,1,0,0,1,1,0,4,3,1,1,4,0
70,Electronic/Rock,2,1,0,3,1,4,0,0,4,0,1,4,1,1,0,4,1
71,Electronic/Rock,2,1,0,0,1,2,1,0,1,4,0,2,3,2,2,2,2
72,Electronic/Rock,2,1,0,3,4,2,3,3,2,1,0,2,3,1,3,2,3
73,Electronic/Rock,2,1,0,0,1,2,2,1,1,1,1,0,1,0,1,0,1
74,Electronic/Rock,2,1,0,2,1,2,1,1,2,3,0,1,2,1,2,4,1
75,Electronic/Rock,2,1,0,2,1,4,2,1,1,2,0,2,3,1,3,2,3
76,Electronic/Rock,2,1,0,2,1,4,1,1,4,1,1,4,1,0,0,3,0
77,Electronic/Rock,2,1,0,0,2,2,3,3,2,1,0,4,2,1,0,0,1
78,Electronic/Rock,2,1,0,2,1,4,2,2,2,0,0,4,1,0,0,4,2
79,Electronic/Rock,2,1,0,0,1,4,3,3,2,3,0,4,2,0,0,3,1
80,Electronic/Rock,2,1,0,0,1,4,3,3,3,1,1,1,3,1,2,3,3
81,Electronic/Rock,2,1,0,0,3,3,3,3,4,2,0,4,2,0,0,3,1
82,Electronic/Rock,2,1,0,2,2,1,1,1,1,1,0,2,3,1,2,0,2
83,Electronic/Rock,2,1,0,0,2,1,2,3,2,3,0,2,2,2,2,3,4
84,Electronic/Rock,2,1,0,4,2,3,0,0,2,0,0,2,3,2,3,4,2
85,Electronic/Rock,0,1,1,3,2,1,0,1,4,0,4,2,4,2,4,0,1
86,Electronic/Rock,0,1,1,3,2,1,2,2,2,3,3,2,2,2,3,2,4
87,Electronic/Rock,0,1,1,3,2,1,3,3,4,0,4,2,4,1,3,0,3
88,Electronic/Rock,0,1,1,0,2,3,3,3,4,1,4,2,3,3,3,0,3
89,Electronic/Rock,0,1,1,3,3,3,1,3,2,0,3,2,3,2,3,3,4
90,Electronic/Rock,0,3,4,1,3,3,0,0,1,1,0,4,1,1,0,0,1
91,Electronic/Rock,3,3,2,3,3,3,4,2,4,4,4,3,4,4,4,4,3
92,Electronic/Rock,3,3,2,3,3,3,1,1,3,0,3,0,1,1,1,3,0
93,Electronic/Rock,3,3,2,3,3,3,4,3,4,0,4,1,3,3,3,3,1
94,Electronic/Rock,3,3,2,3,3,3,1,0,4,1,4,2,3,3,3,4,2
95,Electronic/Rock,3,3,2,3,3,3,0,0,2,3,4,1,2,3,2,4,1
96,Electronic/Rock,3,3,2,4,3,3,0,0,3,4,4,2,3,3,3,3,1
97,Electronic/Rock,3,3,2,4,3,3,2,2,3,1,3,1,3,2,3,4,1
98,Electronic/Rock,3,3,2,2,3,3,2,3,1,4,3,2,3,3,3,2,2
99,Electronic/Rock,3,3,2,3,3,3,0,0,0,0,4,2,4,4,4,3,2
100,Electronic/Rock,0,0,0,3,4,4,0,0,4,4,4,3,4,3,4,4,3
101,Electronic/Rock,0,0,0,2,0,0,1,1,2,0,2,1,2,1,2,0,2
102,Electronic/Rock,0,0,0,1,4,2,0,0,2,0,3,0,0,1,1,1,0
103,Electronic/Rock,1,3,1,3,3,3,3,2,0,3,2,2,3,2,3,4,3
104,Electronic/Rock,1,3,1,2,3,3,0,0,0,2,3,2,3,3,3,4,2
105,Electronic/Rock,1,3,1,2,3,3,0,0,0,3,2,2,4,3,3,4,2
106,Electronic/Rock,1,3,1,1,3,3,3,2,0,2,2,2,3,3,3,4,3
107,Electronic/Rock,1,3,1,2,3,3,4,3,0,3,1,3,4,3,4,1,4
108,Electronic/Rock,1,3,1,2,3,3,1,1,0,4,4,3,4,2,4,3,4
109,Electronic/Rock,0,1,1,2,3,3,3,1,4,4,4,0,1,2,0,1,0
110,Electronic/Rock,0,1,1,2,3,3,1,1,4,1,4,0,0,0,1,4,0
111,Electronic/Rock,0,1,1,2,3,3,0,0,4,0,4,0,1,2,0,2,0
112,Electronic/Rock,0,1,1,1,3,3,0,0,4,4,3,4,1,1,0,3,2
113,Electronic/Rock,0,4,0,1,3,3,0,0,1,4,3,3,4,4,4,2,3
114,Electronic/Rock,0,4,0,4,3,3,1,0,4,4,3,1,2,3,2,3,2
115,Electronic/Rock,0,0,1,3,2,1,3,4,3,0,4,3,4,2,4,2,4
116,Electronic/Rock,2,3,1,0,2,1,2,2,4,1,2,3,4,0,4,3,4
117,Electronic/Rock,2,3,1,0,2,4,4,4,3,1,4,3,4,0,4,2,4
118,Electronic/Rock,0,0,2,1,4,2,2,2,2,1,3,3,4,0,4,4,2
119,Electronic/Rock,0,0,2,4,4,2,2,1,3,1,2,3,4,1,4,4,3
120,Electronic/Rock,0,0,2,3,4,2,3,1,3,3,2,3,4,1,4,4,3
121,Electronic/Rock,0,0,2,2,1,2,1,1,4,0,2,3,4,1,4,4,3
122,Electronic/Rock,0,0,2,2,1,2,2,1,4,0,2,3,4,1,4,3,4
123,Electronic/Rock,0,3,2,2,3,3,2,3,2,4,1,3,4,4,4,4,3
124,Electronic/Rock,0,3,2,3,3,3,2,2,2,4,2,3,4,4,4,3,1
125,Electronic/Rock,0,3,2,0,3,3,1,1,3,4,4,1,4,4,3,4,0
126,Electronic/Rock,0,3,2,0,3,3,4,4,4,0,2,2,4,3,3,3,1
127,Electronic/Rock,0,3,2,2,3,3,3,4,3,4,4,3,4,3,4,3,4
128,Electronic/Rock,0,3,2,1,3,3,1,1,3,4,2,2,4,3,4,3,1
129,Electronic/Rock,0,1,4,2,3,3,2,3,4,4,3,3,4,4,4,3,4
130,Electronic/Rock,0,1,4,1,2,1,1,2,2,0,0,3,4,4,4,4,4
131,Electronic/Rock,0,1,4,1,2,1,0,1,2,4,0,3,4,4,4,3,4
132,Electronic/Rock,0,1,4,1,2,1,3,3,3,4,1,3,4,4,4,2,4
133,Electronic/Rock,0,1,4,0,1,1,4,4,3,4,2,3,4,4,4,4,4
134,Electronic/Rock,0,1,4,1,2,1,1,2,2,0,1,3,4,4,4,4,4
135,Electronic/Rock,0,0,3,2,4,4,3,2,3,4,0,3,4,4,4,0,3
136,Electronic/Rock,0,0,3,3,0,2,4,4,4,0,0,3,4,4,4,0,4
137,Electronic/Rock,0,0,3,1,0,2,4,4,4,0,1,3,4,4,4,1,4
138,Electronic/Rock,0,0,3,1,0,2,2,3,2,4,0,3,4,4,4,3,4
139,Electronic/Rock,0,0,3,1,0,2,4,4,2,0,1,3,4,4,4,2,3
140,Electronic/Rock,0,0,3,1,0,0,3,4,3,4,1,3,4,4,4,3,4
141,Electronic/Rock,0,0,3,2,0,2,2,2,0,0,0,3,4,4,4,2,4
142,Electronic/Rock,3,1,3,0,3,3,0,0,1,4,3,2,4,4,4,0,0
143,Electronic/Rock,3,1,3,0,2,3,2,1,0,4,2,3,4,4,4,0,2
144,Electronic/Rock,3,1,3,0,2,1,2,1,0,4,2,3,4,4,4,4,1
145,Electronic/Rock,3,1,3,0,2,1,0,0,0,0,2,3,4,4,4,0,2
146,Electronic/Rock,3,1,3,0,2,1,3,2,1,4,2,2,4,4,4,0,0
147,Electronic/Rock,3,1,3,0,1,1,1,1,2,4,0,3,4,4,4,3,4
148,Electronic/Rock,3,1,3,0,2,1,0,0,0,0,3,2,4,4,4,3,0
149,Electronic/Rock,0,1,2,3,3,3,3,3,1,1,2,3,4,1,4,3,4
150,Electronic/Rock,0,1,2,3,3,3,3,3,2,0,1,3,4,1,4,3,3
151,Electronic/Rock,0,1,2,2,3,3,3,4,2,1,0,3,4,1,4,2,3
152,Electronic/Rock,0,1,2,3,3,3,3,4,3,0,0,3,4,0,4,3,4
153,Electronic/Rock,0,1,2,3,3,3,2,2,1,0,1,3,4,1,4,2,3
154,Electronic/Rock,0,2,0,0,0,0,4,4,4,3,2,4,1,1,0,3,0
155,Electronic/Rock,0,2,0,1,2,1,1,1,3,4,1,3,4,2,3,4,3
156,Electronic/Rock,0,2,0,0,0,2,0,0,1,0,1,2,3,0,3,4,3
157,Electronic/Rock,0,2,0,1,0,2,2,2,2,4,1,3,4,4,4,2,2
158,Electronic/Rock,0,2,0,1,0,2,1,2,1,1,1,3,4,0,4,2,3
159,Electronic/Rock,0,2,0,0,0,0,2,1,2,3,1,3,3,1,3,3,4
160,Electronic/Rock,0,0,1,4,4,2,4,4,3,4,4,3,4,4,4,2,4
161,Electronic/Rock,0,0,1,4,4,4,1,2,3,4,4,3,4,4,4,0,4
162,Electronic/Rock,1,4,1,0,4,2,1,1,0,4,3,3,4,4,4,2,2
163,Electronic/Rock,1,4,1,0,1,4,0,0,0,4,3,3,4,4,4,3,3
164,Electronic/Rock,1,4,1,0,4,4,0,0,3,4,3,3,4,4,4,4,1
165,Electronic/Rock,1,4,1,0,1,1,1,2,1,4,3,3,4,4,4,4,1
166,Electronic/Rock,1,4,1,0,4,4,2,2,1,4,2,3,4,4,4,3,2
167,Electronic/Rock,1,4,3,2,4,4,2,2,3,4,1,3,4,4,4,2,1
168,Electronic/Rock,1,4,1,0,4,2,3,4,1,4,3,3,4,4,4,0,4
169,Electronic/Rock,1,4,1,0,4,2,3,3,2,4,2,3,4,4,4,2,3
170,Electronic/Rock,1,4,1,0,4,4,3,3,1,4,2,3,4,4,4,0,1
171,Electronic/Rock,1,4,3,1,0,2,1,2,3,4,2,3,4,4,4,3,2
172,Electronic/Rock,1,4,1,0,4,4,4,4,3,4,4,3,4,4,4,3,3
173,Electronic/Rock,1,4,1,0,4,4,4,4,2,4,3,3,4,4,4,3,2
174,Electronic/Rock,3,0,3,4,4,0,4,4,4,4,3,3,4,4,4,4,4
175,Electronic/Rock,3,0,3,4,0,0,1,1,2,0,4,3,4,4,4,2,2
176,Electronic/Rock,3,0,3,4,4,0,2,3,3,4,1,3,4,4,4,0,4
177,Electronic/Rock,3,0,3,4,0,0,0,1,3,4,2,3,4,4,4,3,4
178,Electronic/Rock,3,0,3,4,4,0,1,2,4,1,4,3,4,4,4,4,4
179,Electronic/Rock,3,0,3,4,4,0,1,1,4,3,2,3,4,4,4,4,4
180,Electronic/Rock,3,0,3,4,4,0,2,2,3,0,2,3,4,4,4,3,4
181,Electronic/Rock,3,0,3,4,0,0,3,3,4,1,1,3,4,4,4,3,4
182,Electronic/Rock,3,0,3,4,0,2,1,1,4,4,2,3,4,4,4,3,4
183,Electronic/Rock,0,4,2,2,2,1,3,3,4,4,4,3,4,2,4,0,3
184,Electronic/Rock,0,4,2,1,2,3,1,1,4,4,4,3,4,2,4,2,3
185,Electronic/Rock,0,4,2,4,3,3,1,1,2,4,4,3,4,2,4,2,4
186,Electronic/Rock,0,4,2,2,2,3,4,4,4,4,4,3,4,2,4,1,4
187,Electronic/Rock,1,4,1,4,2,1,1,3,4,0,4,3,4,4,4,4,4
188,Electronic/Rock,1,4,1,2,4,4,2,3,4,4,4,3,4,4,4,3,4
189,Electronic/Rock,1,4,0,4,0,0,3,4,4,4,4,3,4,4,4,3,4
190,Electronic/Rock,1,4,0,2,0,0,1,2,4,4,4,3,4,4,4,4,3
191,Electronic/Rock,1,4,0,0,1,1,1,2,2,1,4,2,1,3,2,1,3
192,Electronic/Rock,1,4,0,1,0,0,1,2,4,4,4,3,4,4,4,4,3
193,Electronic/Rock,1,4,0,0,0,0,0,0,0,4,4,3,4,4,4,2,3
194,Electronic/Rock,1,4,0,0,1,1,2,1,4,1,4,2,1,3,3,0,4
195,Electronic/Rock,1,4,0,1,0,0,2,3,3,4,4,3,4,4,4,3,2
196,Electronic/Rock,1,4,1,4,0,2,4,4,1,3,4,2,3,3,3,2,4
197,Electronic/Rock,1,4,1,2,0,2,4,4,4,4,4,3,4,4,4,1,3
198,Electronic/Rock,1,4,0,1,0,2,2,2,4,3,4,4,2,3,2,0,0
199,Electronic/Rock,0,2,4,4,1,4,3,3,3,0,3,3,4,3,4,2,4
200,Electronic/Rock,0,2,4,3,1,1,3,3,3,4,2,3,4,2,4,0,4
201,Electronic/Rock,0,2,4,1,2,1,3,3,1,1,2,3,4,3,4,1,4
202,Electronic/Rock,0,2,4,2,1,4,4,4,2,0,2,3,4,2,4,2,4
203,Electronic/Rock,0,2,4,3,1,4,2,2,3,1,2,3,4,2,4,0,4
204,Electronic/Rock,0,2,3,4,2,1,3,4,4,0,3,3,4,0,4,3,3
205,Electronic/Rock,0,2,3,4,2,1,3,2,4,1,4,2,4,0,3,2,0
206,Electronic/Rock,0,0,3,4,1,1,4,4,3,1,0,3,3,3,4,3,4
207,Electronic/Rock,0,2,3,2,1,4,4,4,2,1,0,3,4,0,4,2,4
208,Electronic/Rock,0,2,3,3,1,4,4,4,1,3,0,3,4,0,4,4,4
209,Electronic/Rock,0,2,3,3,4,4,3,4,4,4,1,2,4,0,4,3,1
210,Electronic/Rock,0,2,3,3,4,2,4,4,4,0,0,3,4,0,4,3,4
211,Electronic/Rock,0,2,3,3,1,4,4,4,3,0,0,3,4,0,4,3,4
212,Electronic/Rock,0,2,3,2,0,2,2,2,3,4,2,3,4,4,4,0,4
213,Electronic/Rock,0,2,3,3,4,4,1,2,3,4,3,3,4,4,4,0,4
214,Electronic/Rock,0,2,3,2,4,4,2,2,2,4,2,3,4,4,4,2,4
215,Electronic/Rock,0,2,3,4,0,0,3,3,4,4,2,3,4,4,4,3,4
216,Electronic/Rock,0,2,3,3,4,2,2,3,2,1,1,3,4,4,4,2,4
217,Electronic/Rock,0,2,3,1,4,4,3,3,2,4,1,3,4,4,4,2,4
218,Electronic/Rock,0,2,3,3,0,2,3,3,2,4,2,3,4,4,4,3,4
219,Electronic/Rock,3,2,4,0,1,4,4,3,0,1,3,3,4,4,4,2,4
220,Electronic/Rock,3,2,4,3,1,4,3,4,4,1,3,3,4,4,4,0,4
221,Electronic/Rock,3,2,4,1,2,4,0,1,1,0,2,3,4,4,4,2,3
222,Electronic/Rock,3,2,4,4,1,4,4,4,3,0,3,3,4,4,4,2,4
223,Electronic/Rock,3,2,4,2,1,4,3,3,2,0,3,3,4,4,4,2,4
224,Electronic/Rock,3,2,4,4,1,4,4,4,2,3,2,3,4,4,4,1,4
225,Electronic/Rock,3,2,4,2,1,4,4,4,3,4,3,3,4,4,4,2,4
226,Electronic/Rock,3,2,4,3,4,2,4,4,2,0,2,3,4,4,4,3,3
227,Electronic/Rock,1,2,4,1,1,2,3,4,4,2,0,3,4,4,4,0,4
228,Electronic/Rock,1,2,4,1,1,0,2,3,2,3,1,2,3,4,3,3,3
229,Electronic/Rock,1,2,4,1,4,2,2,3,1,1,0,3,4,4,4,3,4
230,Electronic/Rock,1,2,4,1,1,4,4,4,3,2,0,3,4,4,4,4,4
231,Electronic/Rock,1,2,4,2,4,2,2,3,3,2,0,3,4,4,4,3,4
232,Electronic/Rock,1,2,4,2,4,0,3,4,3,2,0,3,4,4,4,2,3
233,Electronic/Rock,1,2,4,1,1,4,2,3,3,3,0,3,4,4,4,3,4
234,Electronic/Rock,1,2,4,2,4,0,3,4,3,1,0,3,4,4,4,2,4
235,Electronic/Rock,0,0,1,3,4,2,3,3,0,4,1,3,4,3,4,3,3
236,Electronic/Rock,0,0,1,4,4,2,1,1,2,4,0,3,4,3,4,4,3
237,Electronic/Rock,0,0,1,4,1,4,3,4,2,3,1,3,4,4,4,2,4
238,Electronic/Rock,0,0,4,2,1,4,2,1,4,0,2,4,3,2,0,3,0
239,Electronic/Rock,0,0,4,1,1,2,0,0,2,4,3,2,4,3,3,3,0
240,Electronic/Rock,0,0,4,0,4,2,0,0,2,3,0,2,3,1,4,4,2
241,Electronic/Rock,0,0,4,1,1,2,2,2,4,4,2,3,4,3,4,0,1
242,Electronic/Rock,0,0,4,0,1,2,1,1,4,4,3,2,4,4,3,3,0
243,Electronic/Rock,0,0,4,2,1,2,1,1,4,4,4,2,4,4,3,3,0
244,Electronic/Rock,0,0,0,2,4,2,0,0,3,0,3,3,4,0,4,2,2
245,Electronic/Rock,3,2,3,4,1,2,3,4,4,1,4,1,2,0,3,1,1
246,Electronic/Rock,3,2,3,1,2,4,2,3,4,1,4,3,2,0,4,3,4
247,Electronic/Rock,3,2,3,3,1,2,1,1,4,1,4,2,2,0,3,0,1
248,Electronic/Rock,3,2,3,2,4,2,1,3,4,0,4,2,2,0,3,1,2
249,Electronic/Rock,3,2,3,2,1,2,2,3,4,0,4,2,2,0,3,0,3
250,Electronic/Rock,3,2,3,3,1,0,2,4,4,0,4,2,2,0,3,2,2
251,Electronic/Rock,3,2,3,2,1,2,2,4,2,0,4,2,2,0,3,2,1
252,Electronic/Rock,3,2,3,0,1,2,1,3,4,1,4,1,2,0,3,3,1
253,Electronic/Rock,3,3,4,0,3,1,0,0,2,0,2,3,3,4,4,4,3
254,Electronic/Rock,3,3,4,2,3,3,2,3,4,2,2,3,4,4,4,2,4
255,Electronic/Rock,3,3,4,1,3,3,0,0,0,0,1,3,4,4,4,3,4
256,Electronic/Rock,3,3,4,2,3,3,3,4,2,3,3,2,3,4,3,4,2
257,Electronic/Rock,3,3,4,0,3,3,2,2,2,4,1,1,2,4,2,4,2
258,Electronic/Rock,3,3,4,0,3,3,0,0,0,1,1,2,3,4,3,0,2
259,Electronic/Rock,0,3,2,0,3,3,4,4,2,2,3,3,4,4,4,0,4
260,Electronic/Rock,0,3,2,0,3,3,1,1,0,2,4,3,4,4,4,2,4
261,Electronic/Rock,0,3,2,1,3,3,3,3,3,3,2,3,4,4,4,0,4
262,Electronic/Rock,0,3,2,0,3,3,2,1,0,2,3,2,3,4,3,2,3
263,Electronic/Rock,0,3,2,2,3,3,4,4,4,2,2,3,4,4,4,0,4
264,Electronic/Rock,0,3,0,3,1,4,3,4,4,3,3,2,3,4,3,1,2
265,Electronic/Rock,1,0,1,4,4,4,4,4,1,4,4,2,3,4,3,2,4
266,Electronic/Rock,1,0,1,4,0,2,4,4,4,2,4,1,1,0,2,2,2
267,Electronic/Rock,0,0,1,2,0,0,1,0,2,4,4,3,4,4,4,1,3
268,Electronic/Rock,0,0,1,2,4,2,3,4,3,3,4,3,4,0,4,3,2
269,Electronic/Rock,0,0,1,2,0,2,3,4,4,4,4,3,4,1,4,3,4
270,Electronic/Rock,0,0,4,3,4,4,3,3,3,4,2,3,4,4,4,2,4
271,Electronic/Rock,0,0,4,2,4,4,4,3,4,4,2,3,4,4,4,0,4
272,Electronic/Rock,0,0,4,3,4,4,4,4,1,4,0,3,4,4,4,3,4
273,Electronic/Rock,0,0,4,3,1,4,1,2,2,4,1,3,4,4,4,3,3
274,Electronic/Rock,1,4,0,3,4,4,4,4,2,2,0,3,4,4,4,3,4
275,Electronic/Rock,1,4,0,3,1,1,0,0,3,4,2,2,4,4,4,4,0
276,Electronic/Rock,1,4,1,1,4,4,1,0,3,0,4,2,4,4,3,1,1
277,Electronic/Rock,1,4,0,0,4,4,3,3,4,4,3,3,4,4,4,0,4
278,Electronic/Rock,1,4,1,1,2,1,2,2,0,4,2,3,4,4,4,4,4
279,Electronic/Rock,1,4,0,2,4,2,1,2,1,0,3,1,2,3,2,3,1
280,Electronic/Rock,1,4,4,3,1,4,2,2,3,4,3,2,4,4,4,4,4
281,Electronic/Rock,1,4,0,1,4,4,2,2,2,0,3,3,4,4,4,2,2
282,Electronic/Rock,1,4,0,1,4,4,1,2,3,4,2,2,3,4,3,2,2
283,Electronic/Rock,1,4,0,3,4,2,4,4,4,4,4,3,4,4,4,4,2
284,Electronic/Rock,1,4,3,1,4,2,2,4,4,1,4,3,4,0,4,3,4
285,Electronic/Rock,1,4,0,2,2,1,1,0,3,4,4,3,4,4,4,2,2
286,Electronic/Rock,1,4,0,3,4,2,1,3,4,4,3,1,2,3,2,0,1
287,Electronic/Rock,0,2,0,3,4,4,3,3,3,4,3,3,4,4,4,3,3
288,Electronic/Rock,0,2,0,4,4,2,2,2,3,4,3,3,4,4,4,3,3
289,Electronic/Rock,0,2,0,2,4,2,0,1,3,4,4,3,4,4,4,4,3
290,Electronic/Rock,0,2,0,3,4,2,2,3,3,4,3,3,4,4,4,2,2
291,Electronic/Rock,0,2,0,3,0,2,4,3,4,4,4,3,4,4,4,1,3
292,Electronic/Rock,0,2,0,0,4,2,4,3,3,4,4,3,4,4,4,4,4
293,Electronic/Rock,0,2,0,2,4,2,1,1,3,4,3,3,4,4,4,2,1
294,Electronic/Rock,3,4,0,1,4,2,1,2,4,4,2,3,4,4,4,3,2
295,Electronic/Rock,3,4,0,1,1,4,1,1,1,0,2,3,4,4,4,1,4
296,Electronic/Rock,3,4,3,0,1,2,1,0,0,0,1,4,1,2,0,0,1
297,Electronic/Rock,3,4,0,3,4,2,2,2,3,4,1,2,3,3,3,2,2
298,Electronic/Rock,3,4,0,0,1,4,1,1,0,4,2,3,4,4,4,4,1
299,Electronic/Rock,3,4,0,4,4,2,2,4,4,4,3,2,4,4,4,0,1
300,Electronic/Rock,3,4,1,0,1,4,1,1,3,4,1,3,4,4,4,2,4
301,Electronic/Rock,3,4,0,3,2,1,3,4,1,1,2,1,3,3,3,3,2
302,Electronic/Rock,3,4,3,2,1,2,2,2,1,4,2,3,4,4,4,3,3
303,Electronic/Rock,3,4,0,0,1,4,3,3,0,1,2,3,3,4,4,2,4
304,Electronic/Rock,3,4,0,1,1,2,2,3,3,4,1,2,4,4,4,0,0
